epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.399,1.40406,1.867,1.56214,0.71635,0.71649,0.75842,0.43143,1.48387,1.29284,1.8354,0.000302606,0.000302606,0.000302606
2,663.699,1.51042,1.45047,1.68841,0.75837,0.68386,0.75095,0.41677,1.48829,1.28652,1.85118,0.000575629,0.000575629,0.000575629
3,983.999,1.48745,1.39158,1.66402,0.74549,0.74041,0.8068,0.4769,1.39157,1.11318,1.70343,0.000818654,0.000818654,0.000818654
4,1304.11,1.43438,1.28457,1.62223,0.85232,0.82533,0.89666,0.59617,1.17736,0.90855,1.53807,0.000774013,0.000774013,0.000774013
5,1622.57,1.31569,1.10481,1.53508,0.8572,0.87117,0.90418,0.61524,1.1055,0.81815,1.45813,0.000729018,0.000729018,0.000729018
6,1939.63,1.26129,1.02526,1.49156,0.86125,0.8742,0.90998,0.63343,1.08307,0.76694,1.45041,0.000684022,0.000684022,0.000684022
7,2256.1,1.20165,0.94558,1.44572,0.89853,0.88511,0.9391,0.67861,0.97763,0.67249,1.35764,0.000639027,0.000639027,0.000639027
8,2572.14,1.15661,0.88654,1.41258,0.90423,0.90609,0.92323,0.67218,0.9858,0.64514,1.36494,0.000594031,0.000594031,0.000594031
9,2889.06,1.12621,0.84387,1.3908,0.9291,0.91552,0.95779,0.71348,0.92306,0.5757,1.31379,0.000549036,0.000549036,0.000549036
10,3205.72,1.08273,0.78761,1.36226,0.94387,0.9302,0.964,0.73915,0.87798,0.54716,1.27876,0.00050404,0.00050404,0.00050404
11,3523.83,0.95646,0.60863,1.30858,0.94909,0.92374,0.96362,0.72415,0.90811,0.54465,1.29365,0.000459045,0.000459045,0.000459045
12,3840.9,0.91903,0.56296,1.2777,0.91493,0.93347,0.96704,0.74645,0.82612,0.51274,1.23827,0.000414049,0.000414049,0.000414049
13,4159.11,0.87563,0.51894,1.24734,0.94474,0.95038,0.97713,0.77315,0.80386,0.46189,1.20424,0.000369054,0.000369054,0.000369054
14,4478.15,0.847,0.48544,1.218,0.95504,0.95791,0.97531,0.78521,0.76426,0.42948,1.16331,0.000324058,0.000324058,0.000324058
15,4795.14,0.80271,0.45376,1.17509,0.96454,0.95823,0.98208,0.79297,0.74856,0.41052,1.14727,0.000279063,0.000279063,0.000279063
16,5111.26,0.77863,0.43431,1.16194,0.96711,0.95251,0.97894,0.79945,0.72781,0.39963,1.13974,0.000234068,0.000234068,0.000234068
17,5428.48,0.73983,0.40727,1.13736,0.96622,0.9686,0.9842,0.81688,0.68643,0.36965,1.1109,0.000189072,0.000189072,0.000189072
18,5744.63,0.71496,0.38841,1.1106,0.96611,0.97,0.98516,0.82326,0.66961,0.36579,1.09217,0.000144077,0.000144077,0.000144077
19,6061.76,0.67881,0.36253,1.07942,0.97058,0.9759,0.98886,0.83625,0.64766,0.33256,1.07873,9.9081e-05,9.9081e-05,9.9081e-05
20,6383.33,0.65634,0.34635,1.06313,0.97127,0.97478,0.98621,0.84194,0.62917,0.32693,1.06098,5.40855e-05,5.40855e-05,5.40855e-05
